tokens,idx
<unk>,0
a,1
abandon,2
abandoned,3
abandonment,4
abated,5
abbey,6
abed,7
abel,8
abeyance,9
abhor,10
abhorred,11
abhorrence,12
abhorrent,13
abide,14
abilities,15
ability,16
abject,17
able,18
aboard,19
abode,20
abominable,21
abominably,22
abominate,23
aboriginal,24
abound,25
abounding,26
about,27
above,28
abraham,29
abram,30
abreast,31
abroad,32
abrupt,33
abruptly,34
abruptness,35
absence,36
absent,37
absently,38
absentminded,39
absolute,40
absolutely,41
absorbed,42
absorbing,43
absorption,44
abstained,45
abstemious,46
abstinence,47
abstract,48
absurd,49
absurdities,50
absurdity,51
abundance,52
abundant,53
abundantly,54
abuse,55
abused,56
abusing,57
accelerate,58
accent,59
accents,60
accept,61
acceptable,62
acceptance,63
accepted,64
accepting,65
access,66
accessed,67
accessible,68
accident,69
accidental,70
accidentally,71
accidents,72
accommodate,73
accommodation,74
accompanied,75
accompaniments,76
accompany,77
accompanying,78
accomplish,79
accomplished,80
accomplishment,81
accomplishments,82
accordance,83
according,84
accordingly,85
accosted,86
account,87
accounted,88
accounting,89
accounts,90
accumulated,91
accumulation,92
accuracy,93
accurate,94
accurately,95
accursed,96
accusation,97
accusations,98
accuse,99
accused,100
accustomed,101
ache,102
ached,103
achieve,104
achieved,105
achievement,106
aching,107
acknowledge,108
acknowledged,109
acknowledgment,110
acknowledgments,111
acquaint,112
acquaintance,113
acquaintances,114
acquaintanceship,115
acquainted,116
acquiesced,117
acquiescence,118
acquire,119
acquired,120
acquirement,121
acquisition,122
acquit,123
acquitted,124
acquitting,125
acre,126
acres,127
across,128
act,129
acted,130
acting,131
action,132
actions,133
active,134
actively,135
activity,136
actress,137
acts,138
actual,139
actually,140
actuated,141
acute,142
acutely,143
acuteness,144
ad,145
adam,146
adapted,147
add,148
added,149
adding,150
addison,151
addition,152
additional,153
additions,154
address,155
addressed,156
addresses,157
addressing,158
adds,159
adequate,160
adequately,161
adhered,162
adhering,163
adieu,164
adjacent,165
adjoining,166
adjust,167
adjusted,168
adjusting,169
adjustment,170
administered,171
administering,172
administration,173
admirable,174
admirably,175
admiral,176
admirals,177
admiration,178
admire,179
admired,180
admirer,181
admirers,182
admires,183
admiring,184
admission,185
admit,186
admits,187
admitted,188
admitting,189
admonished,190
admonition,191
ado,192
adopt,193
adopted,194
adorable,195
adoration,196
adore,197
adored,198
adoring,199
adorn,200
adorned,201
adornment,202
adrift,203
